price,price_per_sq_m,sq_meter,location,type_of_property
380000.0,0.0,95.0,"Za plavárňou, Žilina - Bôrik, okres Žilina",3 izbový byt
,,38.6,"Konská, Rajecké Teplice, okres Žilina",1 izbový byt
,,48.5,"Konská, Rajecké Teplice, okres Žilina",2 izbový byt
,,81.9,"Konská, Rajecké Teplice, okres Žilina",3 izbový byt
,,48.3,"Konská, Rajecké Teplice, okres Žilina",2 izbový byt
,,38.1,"Konská, Rajecké Teplice, okres Žilina",1 izbový byt
167000.0,721.65,97.0,"Žilina - Vlčince, okres Žilina",4 izbový byt
183990.0,628.43,70.0,"Žilina - Bytčica, okres Žilina",3 izbový byt
318000.0,107.29,102.34,"Vysokoškolákov, Žilina - Vlčince, okres Žilina",3 izbový byt
299990.0,955.57,101.5,"Trenčianska, Žilina - Vlčince, okres Žilina",4 izbový byt
289000.0,35.21,142.0,"Rosinská, Žilina - Vlčince, okres Žilina",4 izbový byt
,,28.38,"Žilina - Vlčince, okres Žilina",1 izbový byt
175000.0,944.44,90.0,"Zvolenská, Žilina, okres Žilina",4 izbový byt
145000.0,428.81,59.7,"Revolučná, Žilina, okres Žilina",3 izbový byt
98000.0,450.0,40.0,"Korzo, Žilina - Hájik, okres Žilina",1 izbový byt
365000.0,607.14,140.0,"Do Mažiarca, Žilina - Trnové, okres Žilina",4 izbový byt
365000.0,607.14,140.0,"Do Mažiarca, Žilina - Trnové, okres Žilina",4 izbový byt
246500.0,303.74,107.0,"Predmestská, Žilina, okres Žilina",4 izbový byt
139200.0,784.62,78.0,"Hajik, Žilina, okres Žilina",4 izbový byt
164500.0,981.93,83.0,"Zvolenská, Žilina - Vlčince, okres Žilina",4 izbový byt
131990.0,609.63,82.0,"Sv. Bystríka, Žilina - Vlčince, okres Žilina",3 izbový byt
203999.0,487.79,82.0,"Žilina - Bôrik, okres Žilina",3 izbový byt
,,,"Žilina, okres Žilina",2 izbový b
,,,"Žilina, okres Žilina",2 izbový b
194000.0,771.43,70.0,"Hečkova, Žilina - Hliny, okres Žilina",2 izbový byt
211888.0,800.0,55.76,"Daniela Dlabača, Žilina - Staré mesto, okres Žilina",2 izbový byt
136952.0,800.0,36.04,"Daniela Dlabača, Žilina - Staré mesto, okres Žilina",1 izbový byt
233548.0,38.53,57.83,"Daniela Dlabača, Žilina, okres Žilina",2 izbový byt
163835.0,500.0,46.81,"Daniela Dlabača, Žilina, okres Žilina",2 izbový byt
233548.0,800.0,61.46,"Daniela Dlabača, Žilina, okres Žilina",2 izbový byt
208299.0,900.0,53.41,"Daniela Dlabača, Žilina, okres Žilina",2 izbový byt
201862.0,749.99,53.83,"Daniela Dlabača, Žilina - Staré mesto, okres Žilina",2 izbový byt
199800.0,567.86,56.0,"Športová, Žilina - Staré mesto, okres Žilina",Apartmán
208355.0,788.27,55.0,"Športová, Žilina - Staré mesto, okres Žilina",2 izbový byt
205760.0,674.29,56.0,"Športová, Žilina - Staré mesto, okres Žilina",2 izbový byt
300830.0,539.18,85.0,"Športová, Žilina - Staré mesto, okres Žilina",3 izbový byt
207689.0,776.16,55.0,"Športová, Žilina - Staré mesto, okres Žilina",2 izbový byt
206400.0,752.73,55.0,"Športová, Žilina - Staré mesto, okres Žilina",2 izbový byt
302626.0,560.31,85.0,"Športová, Žilina - Staré mesto, okres Žilina",3 izbový byt
297037.0,749.99,79.21,"Daniela Dlabača, Žilina - Staré mesto, okres Žilina",3 izbový byt
